property_name,property_id,total_opex,city,locality,avg_rent,occupancy_ratio,months_of_stay,CP/ Room,GrossMargin,Furnished Price,Semi-Furnished Price,Unfurnished Price,Cluster,PCA1,PCA2
Settl. Belfort,74,250000,Bangalore,Sarjapur Road,19119.0,42.0,2.2,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,0.1792333055979123,-0.5176007599481672
Settl. Athea,68,300000,Gurgaon,Sector 49,23727.0,90.0,1.35,19667.0,17.11130779280988,23166.0,16666.0,10000.0,2,-0.6412492214466714,-0.9019270766045269
Settl. Oslo,34,80000,Gurgaon,Sector 51,16306.0,93.75,1.86,12650.0,22.42119465227524,23166.0,16666.0,10000.0,1,0.1658262934853288,0.07109090207118145
Settl. Bologna,51,205000,Bangalore,Brookefield,17480.0,98.78,1.78,13659.0,21.85926773455377,15833.0,15888.0,17166.0,0,0.896542982380276,0.6662009819056435
Chennai Listing,96,0,Chennai,Valsaravakkam,26800.0,0.0,1.0,15000.0,21.54401380825357,23166.0,16666.0,10000.0,2,-0.9845702143523908,0.8054436901864089
Settl. Samoa,52,165000,Gurgaon,Sector 51,20111.0,93.94,1.05,13636.0,32.19631047685346,23166.0,16666.0,10000.0,1,0.08597118780855953,0.3903422080745521
Settl. Delvin,67,155000,Bangalore,Panathur,23291.0,91.94,1.91,22935.0,1.5284873985659695,15833.0,15888.0,17166.0,0,-1.035362381518341,-0.3148530128170638
Settl. Verona,63,345000,Gurgaon,Sector 48,16955.0,85.51,1.4,14652.0,13.583013860218225,23166.0,16666.0,10000.0,1,0.6360595944073242,-1.3000610556429542
Settl. Colmar,6,150000,Bangalore,Doddanakundi,25701.0,86.67,1.92,15000.0,21.54401380825357,23166.0,16666.0,10000.0,2,-0.46249307938909345,0.23289226599142798
Settl.Pisa Block B,86,230000,Bangalore,Whitefield,11031.0,68.48,1.11,18000.0,-63.17650258362796,23166.0,16666.0,10000.0,1,0.01411030520110996,-4.891464568919207
Settl. Santorini,39,100000,Bangalore,Indiranagar,30894.0,100.0,2.74,15000.0,51.44688288988153,23166.0,16666.0,10000.0,2,-0.8678196599944351,2.0447802183290054
Hyphen Club Lush,101,0,Bangalore,ITPL,14326.0,5.56,1.5,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,-0.35829346395807754,0.018975882692955984
Settl. Prague,36,150000,Gurgaon,Sector 52,17127.0,93.33,1.65,11235.0,34.40182168505868,23166.0,16666.0,10000.0,1,0.5722236572432425,0.5101154895636638
Settl. Clare,31,180000,Hyderabad,Madhapur,13577.0,100.0,1.84,11550.0,14.929660455181557,24433.0,19444.0,16366.0,3,3.037272757943857,-0.4004927908032164
Hyphen Club Derive,102,0,Bangalore,Indiranagar,9415.0,6.25,1.57,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,-0.11172900017849816,-0.29065562304701115
Settl. Alem,60,110000,Gurgaon,Sector 43,27332.0,100.0,1.08,15000.0,21.54401380825357,23166.0,16666.0,10000.0,2,-0.6688866918619284,0.46992742333319976
Settl. Tellaro,14,120000,Bangalore,Koramangala,23367.0,100.0,2.24,18375.0,21.363461291565027,23166.0,16666.0,10000.0,2,-0.9761607210824732,-0.04712545964656403
Settl. Samara,22,85000,Bangalore,Indiranagar,15186.0,100.0,2.0,14453.0,4.826814170946925,23166.0,16666.0,10000.0,1,-0.05596130951949079,-0.9115395559968388
Settl. Lumia,59,190000,Gurgaon,Sector 39,22067.0,94.74,2.74,23026.0,-4.345855802782435,23166.0,16666.0,10000.0,2,-1.4430695566912302,-1.8068549882923859
Settl. Springfield,13,80000,Bangalore,Koramangala,26836.0,100.0,1.69,20625.0,23.144283797883443,23166.0,16666.0,10000.0,2,-1.632445933215312,0.2338323468639444
Settl. Amalfi,16,180000,Hyderabad,Madhapur,14464.0,94.59,1.63,10000.0,30.86283185840708,24433.0,19444.0,16366.0,3,3.245423768168885,0.46061444157996845
Settl Bron,62,300000,Hyderabad,Gachibowli,16886.0,96.67,1.62,13333.0,21.04109913537842,26000.0,18770.0,28333.0,3,4.174902489016341,-0.11131256419500954
