Locality,BHK,Average Price (INR),Furnishing
hsr layout,1,16666,Semi-Furnished
hsr layout,1,23166,Furnished
hsr layout,1,10000,Unfurnished
Sarjapur,1,16666,Semi-Furnished
Sarjapur,1,23166,Furnished
Sarjapur,1,10000,Unfurnished
Koramangala,1,16666,Semi-Furnished
Koramangala,1,23166,Furnished
Koramangala,1,10000,Unfurnished
Indiranagar,1,16666,Semi-Furnished
Indiranagar,1,23166,Furnished
Indiranagar,1,10000,Unfurnished
Whitefield,1,16666,Semi-Furnished
Whitefield,1,23166,Furnished
Whitefield,1,10000,Unfurnished
Manyata Tech Park,1,16666,Semi-Furnished
Manyata Tech Park,1,23166,Furnished
Manyata Tech Park,1,10000,Unfurnished
Marathalli,1,16666,Semi-Furnished
Marathalli,1,23166,Furnished
Marathalli,1,10000,Unfurnished
Brookefield,1,15888,Semi-Furnished
Brookefield,1,17166,Unfurnished
Brookefield,1,15833,Furnished
Haralur,1,15888,Semi-Furnished
Haralur,1,17166,Unfurnished
Haralur,1,15833,Furnished
Panathur,1,15888,Semi-Furnished
Panathur,1,17166,Unfurnished
Panathur,1,15833,Furnished
Itpl,1,15888,Semi-Furnished
Itpl,1,17166,Unfurnished
Itpl,1,15833,Furnished
Kasavanahalli,1,15888,Semi-Furnished
Kasavanahalli,1,17166,Unfurnished
Kasavanahalli,1,15833,Furnished
kathiriguppe Main Road,1,15888,Semi-Furnished
kathiriguppe Main Road,1,17166,Unfurnished
kathiriguppe Main Road,1,15833,Furnished
Hsr Extension,1,15888,Semi-Furnished
Hsr Extension,1,17166,Unfurnished
Hsr Extension,1,15833,Furnished
Gachibowli,1,18770,Semi-Furnished
Gachibowli,1,26000,Furnished
Gachibowli,1,28333,Unfurnished
Madhapur,1,24433,Furnished
Madhapur,1,16366,Unfurnished
Madhapur,1,19444,Semi-Furnished
Jubilee Hills,1,21880,Semi-Furnished
Jubilee Hills,1,17500,Furnished
Jubilee Hills,1,16500,Unfurnished
sector 31,1,16965,Semi-Furnished
sector 31,1,26500,Unfurnished
sector 31,1,21805,Furnished
sector 38,1,16965,Semi-Furnished
sector 38,1,26500,Unfurnished
sector 38,1,21805,Furnished
sector 39,1,16965,Semi-Furnished
sector 39,1,26500,Unfurnished
sector 39,1,21805,Furnished
sector 47,1,16965,Semi-Furnished
sector 47,1,26500,Unfurnished
sector 47,1,21805,Furnished
sector 48,1,16965,Semi-Furnished
sector 48,1,26500,Unfurnished
sector 48,1,21805,Furnished
sector 49,1,16965,Semi-Furnished
sector 49,1,26500,Unfurnished
sector 49,1,21805,Furnished
sector 51,1,16965,Semi-Furnished
sector 51,1,26500,Unfurnished
sector 51,1,21805,Furnished
sector 52,1,16965,Semi-Furnished
sector 52,1,26500,Unfurnished
sector 52,1,21805,Furnished
