Locality,BHK,averageprice,Furnishing
hsr layout,1,16666,Semi-Furnished
hsr layout,1,23166,Furnished
hsr layout,1,10000,Unfurnished
Sarjapur,1,16666,Semi-Furnished
Sarjapur,1,23166,Furnished
Sarjapur,1,10000,Unfurnished
Koramangala,1,16666,Semi-Furnished
Koramangala,1,23166,Furnished
Koramangala,1,10000,Unfurnished
Indiranagar,1,16666,Semi-Furnished
Indiranagar,1,23166,Furnished
Indiranagar,1,10000,Unfurnished
Whitefield,1,16666,Semi-Furnished
Whitefield,1,23166,Furnished
Whitefield,1,10000,Unfurnished
Manyata Tech Park,1,16666,Semi-Furnished
Manyata Tech Park,1,23166,Furnished
Manyata Tech Park,1,10000,Unfurnished
Marathalli,1,16666,Semi-Furnished
Marathalli,1,23166,Furnished
Marathalli,1,10000,Unfurnished
Brookefield,1,15888,Semi-Furnished
Brookefield,1,17166,Unfurnished
Brookefield,1,15833,Furnished
Haralur,1,15888,Semi-Furnished
Haralur,1,17166,Unfurnished
Haralur,1,15833,Furnished
Panathur,1,15888,Semi-Furnished
Panathur,1,17166,Unfurnished
Panathur,1,15833,Furnished
Itpl,1,15888,Semi-Furnished
Itpl,1,17166,Unfurnished
Itpl,1,15833,Furnished
Kasavanahalli,1,15888,Semi-Furnished
Kasavanahalli,1,17166,Unfurnished
Kasavanahalli,1,15833,Furnished
kathiriguppe Main Road,1,15888,Semi-Furnished
kathiriguppe Main Road,1,17166,Unfurnished
kathiriguppe Main Road,1,15833,Furnished
Hsr Extension,1,15888,Semi-Furnished
Hsr Extension,1,17166,Unfurnished
Hsr Extension,1,15833,Furnished
